"VDOT","E/km","E/mile","M/km","M/mile","T/400","T/800","T/1000","T/mile","I/400","I/1000","I/1200","I/mile","R/200","R/300","R/400","R/600","R/800"
30,"00:7:52.00","00:12:40.00","00:7:03.00","00:11:21.00","00:02:33.00","00:05:07.00","00:06:24.00","00:10:18.00","00:02:22.00","null","null","null","00:00:67.00","00:00:101.00","null",,"null"
31,"00:7:41.00","00:12:22.00","00:6:52.00","00:11:02.00","00:02:30.00","00:04:59.00","00:06:14.00","00:10:02.00","00:02:18.00","null","null","null","00:00:65.00","00:00:98.00","null",,"null"
32,"00:7:30.00","00:12:04.00","00:6:40.00","00:10:44.00","00:02:26.00","00:04:52.00","00:06:05.00","00:09:47.00","00:02:14.00","null","null","null","00:00:63.00","00:00:95.00","null",,"null"
33,"00:7:20.00","00:11:48.00","00:6:30.00","00:10:27.00","00:02:23.00","00:04:45.00","00:05:56.00","00:09:33.00","00:02:11.00","null","null","null","00:00:61.00","00:00:92.00","null",,"null"
34,"00:7:10.00","00:11:32.00","00:6:20.00","00:10:11.00","00:02:19.00","00:04:38.00","00:05:48.00","00:09:20.00","00:02:08.00","null","null","null","00:00:60.00","00:00:90.00","00:2:00.00",,"null"
35,"00:7:01.00","00:11:17.00","00:6:10.00","00:9:56.00","00:02:16.00","00:04:32.00","00:05:40.00","00:09:07.00","00:02:05.00","null","null","null","00:00:58.00","00:00:87.00","00:1:59.00",,"null"
36,"00:6:52.00","00:11:02.00","00:6:01.00","00:9:41.00","00:02:13.00","00:04:26.00","00:05:33.00","00:08:55.00","00:02:02.00","null","null","null","00:00:57.00","00:00:85.00","00:1:55.00",,"null"
37,"00:6:43.00","00:10:49.00","00:5:53.00","00:9:28.00","00:02:10.00","00:04:20.00","00:05:25.00","00:08:44.00","00:01:59.00","null","null","null","00:00:55.00","00:00:83.00","00:1:53.00",,"null"
38,"00:6:35.00","00:10:35.00","00:5:45.00","00:9:15.00","00:02:07.00","00:04:15.00","00:05:19.00","00:08:33.00","00:01:56.00","00:04:54.00","null","null","00:00:54.00","00:00:81.00","00:1:50.00",,"null"
39,"00:6:27.00","00:10:23.00","00:5:37.00","00:9:02.00","00:02:05.00","00:04:10.00","00:05:12.00","00:08:22.00","00:01:54.00","00:04:48.00","null","null","00:00:53.00","00:00:80.00","00:1:48.00",,"null"
40,"00:6:19.00","00:10:11.00","00:5:29.00","00:8:50.00","00:02:02.00","00:04:05.00","00:05:06.00","00:08:12.00","00:01:52.00","00:04:42.00","null","null","00:00:52.00","00:00:78.00","00:1:46.00",,"null"
41,"00:6:12.00","00:9:59.00","00:5:22.00","00:8:39.00","00:02:00.00","00:04:00.00","00:05:00.00","00:08:02.00","00:01:50.00","00:04:36.00","null","null","00:00:51.00","00:00:77.00","00:1:44.00",,"null"
42,"00:6:05.00","00:9:48.00","00:5:16.00","00:8:28.00","00:01:57.00","00:03:55.00","00:04:54.00","00:07:52.00","00:01:48.00","00:04:31.00","null","null","00:00:50.00","00:00:75.00","00:1:42.00",,"null"
43,"00:5:58.00","00:9:37.00","00:5:09.00","00:8:17.00","00:01:55.00","00:03:51.00","00:04:49.00","00:07:42.00","00:01:46.00","00:04:26.00","null","null","00:00:49.00","00:00:74.00","00:1:40.00",,"null"
