"VDOT",1500,1609,3000,3218,5000,8000,8045,10000,15000,16090,20000,210975,25000,30000,421950
85,"00:03:23.5","00:03:39.6","00:07:14.1","00:07:48.9","00:12:37.00","00:20:50.00","00:20:58.00","00:26:19.00","00:40:17.00","00:43:26.00","00:54:40.00","00:57:50.00","1:09:33.00","1:24:33.00","2:01:10.00"
84,"00:03:25.5","00:03:41.8","00:07:18.5","00:07:53.7","00:12:45.00","00:21:02.00","00:21:10.00","00:26:34.00","00:40:42.00","00:43:53.00","00:55:14.00","00:58:25.00","1:10:15.00","1:25:25.00","2:02:24.00"
83,"00:03:27.6","00:03:44.1","00:07:23.1","00:07:58.7","00:12:53.00","00:21:16.00","00:21:24.00","00:26:51.00","00:41:06.00","00:44:19.00","00:55:48.00","00:59:01.00","1:10:59.00","1:26:18.00","2:03:40.00"
82,"00:03:29.7","00:03:46.4","00:07:27.8","00:08:03.7","00:13:01.00","00:21:29.00","00:21:37.00","00:27:07.00","00:41:32.00","00:44:47.00","00:56:23.00","00:59:38.00","1:11:43.00","1:27:12.00","2:04:57.00"
81,"00:03:31.9","00:03:48.7","00:07:32.5","00:08:08.9","00:13:09.00","00:21:42.00","00:21:50.00","00:27:24.00","00:41:58.00","00:45:15.00","00:56:58.00","1:00:15.00","1:12:28.00","1:28:07.00","2:06:17.00"
80,"00:03:34.2","00:03:51.2","00:07:37.5","00:08:14.2","00:13:18.00","00:21:56.00","00:22:04.00","00:27:41.00","00:42:25.00","00:45:44.00","00:57:34.00","1:00:54.00","1:13:15.00","1:29:04.00","2:07:38.00"
79,"00:03:36.5","00:03:53.7","00:07:43.00","00:08:20.00","00:13:26.00","00:22:10.00","00:22:18.00","00:27:59.00","00:42:52.00","00:46:13.00","00:58:12.00","1:01:34.00","1:14:03.00","1:30:02.00","2:09:02.00"
78,"00:03:38.8","00:03:56.2","00:07:48.00","00:08:25.00","00:13:35.00","00:22:24.00","00:22:32.00","00:28:17.00","00:43:20.00","00:46:44.00","00:58:51.00","1:02:15.00","1:14:52.00","1:31:02.00","2:10:27.00"
77,"00:03:41.00","00:03:58.00","00:07:53.00","00:08:31.00","00:13:44.00","00:22:39.00","00:22:48.00","00:28:36.00","00:43:49.00","00:47:15.00","00:59:30.00","1:02:56.00","1:15:41.00","1:32:02.00","2:11:54.00"
76,"00:03:44.00","00:04:02.00","00:07:58.00","00:08:37.00","00:13:54.00","00:22:55.00","00:23:03.00","00:28:55.00","00:44:18.00","00:47:46.00","1:00:10.00","1:03:39.00","1:16:33.00","1:33:05.00","2:13:23.00"
